======ListNet MQ2007 metrics average of [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4645, 0.4689, 0.4807, 0.5112, 0.5825, 0.6940
2,      0.4644, 0.4689, 0.4787, 0.5102, 0.5821, 0.6940
3,      0.4642, 0.4696, 0.4792, 0.5108, 0.5819, 0.6938
4,      0.4705, 0.4698, 0.4803, 0.5116, 0.5828, 0.6947
5,      0.4624, 0.4689, 0.4796, 0.5118, 0.5831, 0.6945
6,      0.4667, 0.4696, 0.4802, 0.5114, 0.5834, 0.6946
7,      0.4662, 0.4711, 0.4804, 0.5116, 0.5837, 0.6950
8,      0.4692, 0.4707, 0.4815, 0.5129, 0.5832, 0.6952
9,      0.4664, 0.4697, 0.4817, 0.5116, 0.5834, 0.6948
10,     0.4682, 0.4711, 0.4812, 0.5119, 0.5831, 0.6952
AVG,    0.4663, 0.4698, 0.4804, 0.5115, 0.5829, 0.6946
STD,    0.0024, 0.0008, 0.0009, 0.0007, 0.0006, 0.0005

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2176, 0.3112, 0.3381, 0.3572, 0.3650, 0.3675
2,      0.2179, 0.3112, 0.3380, 0.3571, 0.3649, 0.3675
3,      0.2171, 0.3109, 0.3378, 0.3569, 0.3647, 0.3673
4,      0.2211, 0.3121, 0.3398, 0.3589, 0.3667, 0.3692
5,      0.2164, 0.3099, 0.3376, 0.3566, 0.3644, 0.3669
6,      0.2179, 0.3107, 0.3383, 0.3574, 0.3651, 0.3677
7,      0.2189, 0.3122, 0.3395, 0.3584, 0.3663, 0.3688
8,      0.2198, 0.3128, 0.3399, 0.3591, 0.3667, 0.3692
9,      0.2190, 0.3119, 0.3392, 0.3582, 0.3660, 0.3685
10,     0.2194, 0.3119, 0.3394, 0.3582, 0.3661, 0.3687
AVG,    0.2185, 0.3115, 0.3387, 0.3578, 0.3656, 0.3681
STD,    0.0013, 0.0008, 0.0008, 0.0008, 0.0008, 0.0008

======KLDivergence MQ2007 metrics average of [10] runs======

Try,    NDCG@1, NDCG@3, NDCG@5, NDCG@10,NDCG@20,NDCG@50,
1,      0.4735, 0.4718, 0.4813, 0.5138, 0.5843, 0.6951
2,      0.4788, 0.4755, 0.4833, 0.5153, 0.5858, 0.6965
3,      0.4721, 0.4726, 0.4808, 0.5122, 0.5828, 0.6943
4,      0.4703, 0.4720, 0.4827, 0.5122, 0.5832, 0.6942
5,      0.4730, 0.4687, 0.4803, 0.5129, 0.5831, 0.6940
6,      0.4730, 0.4738, 0.4816, 0.5146, 0.5847, 0.6957
7,      0.4670, 0.4684, 0.4791, 0.5128, 0.5831, 0.6940
8,      0.4711, 0.4698, 0.4805, 0.5135, 0.5831, 0.6941
9,      0.4688, 0.4683, 0.4799, 0.5125, 0.5825, 0.6942
10,     0.4698, 0.4708, 0.4803, 0.5114, 0.5820, 0.6936
AVG,    0.4717, 0.4712, 0.4810, 0.5131, 0.5835, 0.6946
STD,    0.0031, 0.0023, 0.0012, 0.0011, 0.0011, 0.0008

Try,    ERR@1,  ERR@3,  ERR@5,  ERR@10, ERR@20, ERR@50
1,      0.2216, 0.3134, 0.3401, 0.3593, 0.3671, 0.3696
2,      0.2259, 0.3168, 0.3432, 0.3623, 0.3701, 0.3726
3,      0.2209, 0.3132, 0.3400, 0.3590, 0.3668, 0.3694
4,      0.2223, 0.3151, 0.3416, 0.3606, 0.3684, 0.3709
5,      0.2226, 0.3118, 0.3397, 0.3590, 0.3667, 0.3693
6,      0.2227, 0.3147, 0.3413, 0.3607, 0.3683, 0.3709
